id,regime,step,timestamp,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
leo-5554,leo,47,2026-01-17T10:46:32.46121803125Z,3384.26575,431.97159375,7082.532,4.331615928966725,5.141421192162178,-2.375287261195539
leo-5554,leo,48,2026-01-17T10:48:14.501745375Z,3811.88125,954.771,6809.932,4.031797256893096,5.083582915385819,-2.9562777363767707
leo-5554,leo,49,2026-01-17T10:49:56.542761Z,4207.081,1469.437,6479.21,3.7141027143960166,5.003850982594846,-3.5258608031964105
geo-1317,geo,0,2026-01-18T13:29:44.528710Z,-18442.298,-37910.212,126.8454140625,2.745185774867081,-1.3372687877569407,-0.3719227873176014
geo-1317,geo,1,2026-01-18T13:33:08.610344521484375Z,-17880.076,-38178.896,50.9371171875,2.764589774689419,-1.2958343881362817,-0.3719785152467788
geo-1317,geo,2,2026-01-18T13:36:32.69197904296875Z,-17313.894,-38439.124,-24.982552734375,2.783692634051622,-1.2542432791729952,-0.3719932478430523
geo-1317,geo,3,2026-01-18T13:39:56.773583046875Z,-16743.875,-38690.832,-100.8968515625,2.8021850216262028,-1.212377595178419,-0.3719259455368986
geo-1317,geo,4,2026-01-18T13:43:20.8552480859375Z,-16170.145,-38933.972,-176.7890625,2.820052876806403,-1.1702473829641384,-0.3717766438334571
geo-1317,geo,5,2026-01-18T13:46:44.93685208984375Z,-15592.833,-39168.484,-252.642421875,2.8372914983014197,-1.1278331583261751,-0.3715453084078496
geo-1317,geo,6,2026-01-18T13:50:09.01845609375Z,-15012.067,-39394.312,-328.4401875,2.8539045214340657,-1.085202996451175,-0.37123184431053446
geo-1317,geo,7,2026-01-18T13:53:33.1001211328125Z,-14427.974,-39611.424,-404.165625,2.8698878945734543,-1.0423278345915314,-0.3708366114639166
geo-1317,geo,8,2026-01-18T13:56:57.181786171875Z,-13840.684,-39819.752,-479.80209375,2.885237142137659,-0.999198041435855,-0.3703595506021222
geo-1317,geo,9,2026-01-18T14:00:21.2634512109375Z,-13250.326,-40019.26,-555.3328125,2.8999478114002595,-0.9558725211965793,-0.3698005251710094
geo-1317,geo,10,2026-01-18T14:03:45.3449941796875Z,-12657.032,-40209.904,-630.7410625,2.9140059049649683,-0.9123115411372419,-0.3691597739018221
geo-1317,geo,11,2026-01-18T14:07:09.42665921875Z,-12060.936,-40391.632,-706.01025,2.9274270148768045,-0.8685545088215441,-0.3684373296182787
geo-1317,geo,12,2026-01-18T14:10:33.5082021875Z,-11462.164,-40564.416,-781.123625,2.9402028759755994,-0.8246306954700559,-0.36763377341442516
geo-1317,geo,13,2026-01-18T14:13:57.589989296875Z,-10860.853,-40728.216,-856.064875,2.9523205885489006,-0.7805110496916604,-0.36674870999608605
geo-1317,geo,14,2026-01-18T14:17:21.671532265625Z,-10257.135,-40882.992,-930.817,2.963786573012712,-0.73620530972509,-0.36578233943049965
geo-1317,geo,15,2026-01-18T14:20:45.753319375Z,-9651.144,-41028.708,-1005.3638125,2.974595984228519,-0.6917524636009621,-0.36473572896953965
geo-1317,geo,16,2026-01-18T14:24:09.83486234375Z,-9043.014,-41165.34,-1079.68875,2.984750561657962,-0.6471334843848308,-0.3636081816637516
geo-1317,geo,17,2026-01-18T14:27:33.9164053125Z,-8432.879,-41292.844,-1153.77525,2.9942363943690906,-0.6023765311969473,-0.362399655737197
geo-1317,geo,18,2026-01-18T14:30:57.998192421875Z,-7820.8765,-41411.208,-1227.607,3.0030613035257847,-0.5574826846152428,-0.36111095440004465
geo-1317,geo,19,2026-01-18T14:34:22.079735390625Z,-7207.1395,-41520.388,-1301.1675,3.0112240482918207,-0.512471625207254,-0.35974315184025224
geo-1317,geo,20,2026-01-18T14:37:46.161278359375Z,-6591.806,-41620.38,-1374.440875,3.018718016669636,-0.4673717528554116,-0.35829560028172
geo-1317,geo,21,2026-01-18T14:41:10.24306546875Z,-5975.0095,-41711.152,-1447.410625,3.025542498750696,-0.4221251059076458,-0.3567680236967121
geo-1317,geo,22,2026-01-18T14:44:34.3246084375Z,-5356.8905,-41792.676,-1520.0605,3.0316950322878564,-0.3768003655860957,-0.35516226232716597
geo-1317,geo,23,2026-01-18T14:47:58.40615140625Z,-4737.5835,-41864.948,-1592.37475,3.0371799721982295,-0.3314067456377379,-0.35347758033682747
geo-1317,geo,24,2026-01-18T14:51:22.487694375Z,-4117.22575,-41927.944,-1664.337,3.041991192359823,-0.2859344380164257,-0.35171469221417057
geo-1317,geo,25,2026-01-18T14:54:46.569725625Z,-3495.9535,-41981.656,-1735.931875,3.046126799124597,-0.2404035635397886,-0.3498741267034861
geo-1317,geo,26,2026-01-18T14:58:10.65126859375Z,-2873.90775,-42026.068,-1807.142875,3.0495886151512477,-0.19479468560313398,-0.34795527791003406
geo-1317,geo,27,2026-01-18T15:01:34.7328115625Z,-2251.224,-42061.164,-1877.954375,3.0523745726255442,-0.14915606554711122,-0.34596036453336276
geo-1317,geo,28,2026-01-18T15:04:58.81435453125Z,-1628.041125,-42086.948,-1948.351125,3.054483564177348,-0.10350764548675215,-0.343888888623047
geo-1317,geo,29,2026-01-18T15:08:22.8958975Z,-1004.4965625,-42103.412,-2018.317125,3.0559171389872932,-0.05781021094974131,-0.34174075022293166
geo-1317,geo,30,2026-01-18T15:11:46.97792875Z,-380.7270625,-42110.544,-2087.83725,3.056673309755441,-0.012102936184586724,-0.33951737158606554
geo-1317,geo,31,2026-01-18T15:15:11.05947171875Z,243.126140625,-42108.352,-2156.89575,3.0567521120492684,0.03359441476316715,-0.3372187606918378
geo-1317,geo,32,2026-01-18T15:18:35.1410146875Z,866.9263125,-42096.832,-2225.4775,3.056153967255162,0.07929183484504757,-0.33484532214882345
geo-1317,geo,33,2026-01-18T15:21:59.22255765625Z,1490.535375,-42075.988,-2293.56725,3.0548792393512283,0.12495985491399188,-0.3323983835735089
geo-1317,geo,34,2026-01-18T15:25:23.304100625Z,2113.81525,-42045.828,-2361.15025,3.052927660368601,0.1706082749743364,-0.329877332465624
geo-1317,geo,35,2026-01-18T15:28:47.38564359375Z,2736.62775,-42006.352,-2428.211,3.0502985324751806,0.2162171818448405,-0.3272836179443293
geo-1317,geo,36,2026-01-18T15:32:11.46767484375Z,3358.836,-41957.576,-2494.7355,3.046995314571978,0.26177745636957117,-0.32461862608509817
geo-1317,geo,37,2026-01-18T15:35:35.5492178125Z,3980.30025,-41899.504,-2560.7085,3.0430164872631047,0.30728893503909055,-0.3218811414516731
geo-1317,geo,38,2026-01-18T15:38:59.63076078125Z,4600.883,-41832.152,-2626.1155,3.038364547718795,0.3527315550089843,-0.31907160271701285
